n_nodes,n_edges,avg_degree,avg_clustering,n_sources,n_infected_nodes,n_iterations,percentage_infected,beta,threshold_infected,graph_type,neighbours,prob_reconnect
1143,4572,4.0,0.12766972990070136,29,858,4,0.026243420465071707,0.4540464112689401,0.23927134576881953,watts_strogatz,9,0.4308542824065178
1693,1692,0.9994093325457767,0.0,27,1190,10,0.016468018227429597,0.4245211785855976,0.5866410482190518,barabasi_albert,1,0.33528712292046187
862,1720,1.9953596287703017,0.028198940021940663,28,622,6,0.03293054529605226,0.28263604316300783,0.4341384584957097,barabasi_albert,2,0.039854299002619165
1450,2896,1.9972413793103447,0.02109918101138392,32,1235,7,0.022366848128893863,0.3111133715019023,0.6267089459413504,barabasi_albert,2,0.06238826595729413
1430,4281,2.9937062937062935,0.021759357479325017,58,687,12,0.040668119099946616,0.046451841650092765,0.4286864659206454,barabasi_albert,3,0.4602679673103371
1461,1460,0.999315537303217,0.0,45,1186,23,0.031038507613849874,0.18347989678761875,0.7827346648365927,barabasi_albert,1,0.18467901768132416
2094,6273,2.995702005730659,0.014869351610128805,63,1177,18,0.03009747693715592,0.0374651379692107,0.4860369493995359,barabasi_albert,3,0.24106086470849603
1872,11196,5.980769230769231,0.029840137608896887,47,1799,4,0.025131857353843424,0.3749707553317325,0.40039625057712114,barabasi_albert,6,0.4527647711091962
721,721,1.0,0.0,24,436,27,0.03379600432433422,0.4504403521620364,0.5799780401337851,watts_strogatz,2,0.020766339337412787
1824,5472,3.0,0.2524553571428561,81,1800,7,0.04444008964838968,0.3473400223059682,0.7897250493302677,watts_strogatz,6,0.25189625850450353
1035,1034,0.9990338164251208,0.0,19,438,9,0.018529791668065163,0.2958522620395943,0.34713211666001065,barabasi_albert,1,0.13177371391734627
1365,4095,3.0,0.3488519417090836,27,1108,7,0.02018927436975105,0.3378600518718966,0.4344812056700897,watts_strogatz,7,0.17799869237066068
1394,6945,4.98206599713056,0.03682411719955504,28,1241,5,0.020381678221313988,0.24875383812953086,0.31734435261499994,barabasi_albert,5,0.2019414365544232
165,164,0.9939393939393939,0.0,7,110,7,0.04675310350708922,0.4532485864052255,0.50986231595829,barabasi_albert,1,0.06971202392169473
1939,11634,6.0,0.15815501715905203,37,1938,5,0.019187163151604153,0.4112651865039763,0.6807085805638942,watts_strogatz,13,0.3981648494742779
3084,12336,4.0,0.5354938583537834,91,2198,5,0.029679292774353334,0.44023143969344813,0.4090778812626844,watts_strogatz,9,0.06295057612397925
1706,5109,2.9947245017584994,0.015574248381708428,81,1535,7,0.04802956774019987,0.20267458724359497,0.6967465263408982,barabasi_albert,3,0.2897497955136787
2522,12610,5.0,0.38609771803665577,33,2436,6,0.013449267164023287,0.3710890962115005,0.7644955469321717,watts_strogatz,11,0.17174837103473184
1046,1046,1.0,0.002230720203951561,41,398,20,0.039242726214479336,0.23548994026593015,0.3605942595377126,watts_strogatz,2,0.13594835562812257
5292,10584,2.0,0.30296899182953324,240,3889,7,0.045452120288673896,0.39433258116780456,0.5752859690993302,watts_strogatz,5,0.1660635791644247
2704,5404,1.9985207100591715,0.009563758326330236,40,2184,8,0.014868417632489002,0.27331418485199555,0.6706791293539436,barabasi_albert,2,0.24486692089152706
795,1586,1.9949685534591195,0.01806303649766936,16,699,7,0.020638609393915132,0.32008001711479883,0.5868622469957746,barabasi_albert,2,0.24242895945194376
1793,1792,0.9994422755158952,0.0,33,686,16,0.018551886061061586,0.14111505913582517,0.34177367832395084,barabasi_albert,1,0.23745613031989576
182,182,1.0,0.0,3,13,100,0.01693947306517528,0.02135009617204286,0.507345886595717,watts_strogatz,2,0.31276394018433423
2594,7773,2.9965304548959137,0.015823237229757703,118,2325,5,0.04583612400224731,0.3353590039644194,0.6464190568493511,barabasi_albert,3,0.4095397125998514
1465,5844,3.9890784982935155,0.023647818745444617,27,1273,6,0.01857564519547763,0.24621829786365593,0.41869004996720904,barabasi_albert,4,0.37781033589649377
730,1456,1.9945205479452055,0.02687433879728668,30,519,5,0.041601147509487235,0.3594197168602566,0.4336619963261485,barabasi_albert,2,0.2961386823364505
701,700,0.9985734664764622,0.0,15,537,10,0.021837367434783553,0.3786820581026283,0.6777166527663934,barabasi_albert,1,0.07512199918938445
2383,7140,2.9962232480067144,0.014342448642445431,61,2258,7,0.02568731536977576,0.25972032001186374,0.7150883077715424,barabasi_albert,3,0.2556560558387409
1876,1875,0.9994669509594882,0.0,48,632,11,0.02598209182405395,0.19577981931938532,0.28543199063063107,barabasi_albert,1,0.48998886579700346
2205,11000,4.988662131519274,0.023041810060218958,99,2198,5,0.04534996642938824,0.37040294293158554,0.7828872493840977,barabasi_albert,5,0.3306171314405585
391,391,1.0,0.0059676044330775795,8,277,73,0.021105266206913588,0.22438994813840218,0.6916103436149155,watts_strogatz,2,0.41217757147319617
689,689,1.0,0.0,8,296,73,0.012636327216909674,0.14007029771156326,0.4243913265158576,watts_strogatz,2,0.4435879797215582
2162,10785,4.988436632747456,0.0199356573743287,55,2141,5,0.025709971999817817,0.36797481790205205,0.6656082238425898,barabasi_albert,5,0.1996344598498166
588,588,1.0,0.0,10,229,41,0.018078438154942013,0.22637049186140232,0.3755743429867868,watts_strogatz,2,0.3193374251388469
2693,8070,2.9966580022279987,0.014807058912248216,53,1559,6,0.01980892592964356,0.16577449297011865,0.296891857556255,barabasi_albert,3,0.21870610094548365
943,1886,2.0,0.2605691056910567,39,431,6,0.04204670551952543,0.3217758207965,0.30504867970276456,watts_strogatz,4,0.22212566609723633
2780,5560,2.0,0.0633173461231012,102,1608,14,0.03686341336492963,0.10658845273330543,0.49044475847819174,watts_strogatz,5,0.4980433772631877
465,930,2.0,0.09254992319508461,9,244,7,0.021282352352246695,0.3316052835881419,0.32239694183045653,watts_strogatz,4,0.48408200403208873
1304,3912,3.0,0.4492446927646332,20,950,7,0.015511362647711935,0.41756645801577014,0.3894808643608588,watts_strogatz,6,0.09962657121717389
780,779,0.9987179487179487,0.0,12,264,7,0.015504662054238501,0.26335679656555266,0.2082264199948944,barabasi_albert,1,0.25265766376411203
286,286,1.0,0.0,8,141,34,0.029088461125134663,0.277303056525212,0.47790174832600213,watts_strogatz,2,0.10194537311298624
832,832,1.0,0.0,20,385,19,0.024934907817960345,0.37997959517171287,0.42374677318053466,watts_strogatz,3,0.4131285453582134
317,317,1.0,0.0,10,177,27,0.0345737866619897,0.39066773031501806,0.5334604113573677,watts_strogatz,2,0.38442541098786326
1027,3081,3.0,0.47556220151157064,28,699,9,0.02803245515264549,0.20739837589801025,0.5047082316997702,watts_strogatz,6,0.07515848396605318
197,196,0.9949238578680203,0.0,9,117,7,0.04688314975008664,0.3959675260735252,0.38290363711427067,barabasi_albert,1,0.37759912551681496
2682,16092,6.0,0.10640288311224907,70,2644,4,0.02637418098020846,0.4736888432305243,0.3823385811936143,watts_strogatz,13,0.47929661266800244
406,405,0.9975369458128078,0.0,5,232,30,0.013453432866123455,0.11581397192336514,0.5399084388250625,barabasi_albert,1,0.45178030873891034
402,402,1.0,0.0,9,153,38,0.02363645759845985,0.15111867163836426,0.36163416580660335,watts_strogatz,2,0.4032178267614169
2394,11945,4.989557226399332,0.02043914538999644,59,1640,12,0.024838886777334347,0.04250076973866739,0.5701067820611241,barabasi_albert,5,0.22408275397412614
368,368,1.0,0.0,7,163,32,0.019256367944986863,0.3251160494112415,0.42567444969325086,watts_strogatz,2,0.22400694585933434
267,267,1.0,0.0,8,200,85,0.03366249133552803,0.17077063522313055,0.7397527052248385,watts_strogatz,2,0.11569050467467329
2190,8744,3.992694063926941,0.021354477712194602,34,2157,5,0.01580064769158508,0.459094770697645,0.4324808261198546,barabasi_albert,4,0.10694561231755079
2500,20000,8.0,0.6433787544275446,57,2379,6,0.02309147929752025,0.30709443143102405,0.6122678683079941,watts_strogatz,16,0.029109325868204305
3753,14996,3.9957367439381826,0.011044318330819055,158,3606,4,0.042347950462242635,0.49342354504964875,0.2524872333644434,barabasi_albert,4,0.4915690524975861
570,569,0.9982456140350877,0.0,5,386,18,0.010381025031702374,0.20561352551031764,0.6141250131493108,barabasi_albert,1,0.33452905657559595
2567,2567,1.0,0.0,121,1233,13,0.0471550930951393,0.48279961553750333,0.43019632929077156,watts_strogatz,2,0.0840605803552138
4432,13287,2.9979693140794224,0.009508195796016803,131,3946,7,0.02963514568283862,0.21313461796081404,0.6505956203810864,barabasi_albert,3,0.017444684507338215
1941,1940,0.9994848016486347,0.0,41,1144,34,0.02141629399150804,0.09410703785358139,0.5579263459125112,barabasi_albert,1,0.042735044519036036
3539,10617,3.0,0.234052795341295,131,1610,6,0.037152841397935545,0.18122448526344423,0.29274129702799595,watts_strogatz,6,0.2760559121151724
1754,10488,5.979475484606613,0.026130591425317796,55,1630,4,0.03154583187865948,0.3047200650970646,0.5152256611391921,barabasi_albert,6,0.3752484268120324
1511,10528,6.967571144937128,0.0356645536938758,23,1369,4,0.015273401042249994,0.32969789940486505,0.295268978451273,barabasi_albert,7,0.2749196150928332
1331,2658,1.9969947407963937,0.01856220301043809,29,708,7,0.022050226103157107,0.16007238657039113,0.3993421990201226,barabasi_albert,2,0.0542454569739938
