,graph_type,neighbours,prob_reconnect,beta,threshold_infected,iterations,percentage_initially_infected,currently_infected
229,barabasi_albert,4,0.010459654264217272,0.003307261254709337,0.30202366802721764,50,0.018920860319086005,105
230,watts_strogatz,60,0.1356043353857374,0.0036991110743689985,0.2637247424596541,15,0.027778788054562138,592
231,watts_strogatz,69,0.17220807510435332,0.008055704774595409,0.2970182380416574,10,0.013806333619458907,1956
232,watts_strogatz,24,0.13180802317423881,0.0034602235595450354,0.2927287323777057,43,0.019951799207359802,619
233,watts_strogatz,91,0.22989091100712508,0.009272126791361163,0.4988898307606639,8,0.030643486151028812,1403
234,barabasi_albert,17,0.03085156995683197,0.008877962601324708,0.23485785288869016,10,0.025666944935595078,1022
235,watts_strogatz,149,0.09963935439368762,0.008059628583494145,0.2901337440447816,5,0.04050707322922423,1883
236,barabasi_albert,62,0.08252727992083506,0.0044709719717510275,0.267687445244636,8,0.019404623974934605,1168
237,barabasi_albert,69,0.17861741602405334,0.007703273432512135,0.2124325239461693,5,0.043966409690800005,1629
238,watts_strogatz,133,0.06765597101800647,0.006178726082444643,0.37914425413920083,7,0.04867994640507514,1931
239,watts_strogatz,6,0.056014685274499154,0.00209087525762466,0.4326827295293871,50,0.01560256363091411,26
240,watts_strogatz,62,0.20576497795776266,0.008704645082375732,0.2829698178109982,10,0.018856132162124874,1368
241,barabasi_albert,35,0.058989990832097966,0.00292438981787887,0.29678709216683224,13,0.03706806967993117,1078
242,watts_strogatz,24,0.06644821014276683,0.0011501985376354315,0.21547818484695294,50,0.013848227336006378,104
243,barabasi_albert,34,0.12311987440876931,0.001424373573272732,0.43688862950207724,41,0.01455297843458797,1585
244,watts_strogatz,22,0.03624605624347593,0.009610270213847371,0.44402982624201537,24,0.026424152346697517,864
245,barabasi_albert,2,0.24843607642084223,0.005664232357675271,0.3816131803727557,50,0.04485279638419136,59
246,barabasi_albert,13,0.15023854077529486,0.0029128834396593105,0.3986253320060724,34,0.03897976149012984,543
247,watts_strogatz,13,0.245719080571932,0.009921158782859811,0.34832805904835734,30,0.029462884325315783,184
248,watts_strogatz,38,0.2120156987002498,0.00816194365713831,0.2706191171258101,13,0.021859534016413502,1511
249,watts_strogatz,3,0.0850374270853132,0.006919589457669191,0.3792418760722168,50,0.04939478619955147,33
250,barabasi_albert,36,0.11361985811398875,0.005847024577995921,0.35259205652418474,9,0.04135350762695837,778
251,watts_strogatz,84,0.02408654902692353,0.0013073576666004787,0.4997344980361107,35,0.035931635796559426,1266
