,diameter,average_shortest_path_length,average_clustering_coefficient,average_degree,n_nodes,n_edges,avg_degree_centrality
57,4,2.7349185545777943,0.04743894496660094,13.900101936799185,981,6818,0.014183777486529782
58,5,3.4115910233557294,0.40665779300399685,14.0,936,6552,0.014973262032085566
59,5,3.439770915300933,0.39931311180161455,14.0,1030,7210,0.013605442176870748
60,4,2.748658802057475,0.047298915683238844,13.901803607214429,998,6937,0.013943634510746669
61,5,3.3815114648028044,0.38556722451244335,14.0,958,6706,0.014629049111807733
62,4,2.7177153590438308,0.05305847249471181,13.892661555312158,913,6342,0.015233181529947543
63,5,3.2169545695010995,0.3989731764989686,16.0,957,7656,0.016736401673640166
64,5,3.2760206653225805,0.40736973255589876,16.0,1024,8192,0.015640273704789827
65,5,3.454893106893107,0.4156188554679385,14.0,1001,7007,0.014000000000000004
66,5,3.434897234720872,0.4191628369130403,14.0,941,6587,0.014893617021276593
67,4,2.73343135785269,0.046952020927393166,13.897166841552991,953,6622,0.014597864329362385
68,4,2.73504850805916,0.05057489439939336,13.896076352067869,943,6552,0.0147516734098385
69,4,2.7262639073038564,0.0485122098516915,13.892661555312158,913,6342,0.015233181529947543
70,5,3.338182869744034,0.4275129519217853,16.0,1088,8704,0.01471941122355106
71,4,2.6757267341226276,0.05131506204791522,15.872763419483102,1006,7984,0.015793794447246868
72,4,2.727028958843507,0.052072788639549034,13.899280575539569,973,6762,0.014299671374011903
73,4,2.7347673859301764,0.04908434977586412,13.896405919661733,946,6573,0.014705191449377498
74,5,3.345444354766389,0.3734064066335921,14.0,945,6615,0.01483050847457627
75,4,2.6666062444361196,0.050890755581577636,15.871614844533601,997,7912,0.01593535626961205
76,4,2.7140310687951894,0.05039993901351831,13.893013100436681,916,6363,0.015183620874794187
77,5,3.3767108790045794,0.37498721966458903,14.0,1006,7042,0.013930348258706465
78,4,2.728870351918312,0.054162873592241784,13.897166841552991,953,6622,0.014597864329362383
79,6,3.5495933753553333,0.37860035117388113,12.0,900,5400,0.013348164627363737
80,5,3.233144512273369,0.3798357477966265,16.0,1045,8360,0.015325670498084294
81,4,2.679634174806725,0.05085074693405309,15.8796992481203,1064,8448,0.014938569377347412
82,4,2.677237124067095,0.05413021083666449,15.87704130643612,1041,8264,0.015266385871573194
83,5,3.414726968351075,0.4059895699358183,14.0,954,6678,0.014690451206715636
84,5,3.3871943852438497,0.3917717635865248,14.0,959,6713,0.014613778705636743
85,4,2.7367910633766117,0.047203689084105,13.895744680851063,940,6531,0.014798450139351507
86,5,3.399773510011091,0.41044474299369016,14.0,926,6482,0.015135135135135137
87,4,2.67183016983017,0.053815406446909506,15.872127872127873,1001,7944,0.015872127872127877
88,4,2.6932541968228527,0.04988562117926431,15.88310502283105,1095,8696,0.014518377534580485
89,4,2.683641150096664,0.0507516207885797,15.879017013232515,1058,8400,0.01502272186682357
90,4,2.661838930445956,0.05601964933420488,15.871614844533601,997,7912,0.01593535626961205
91,5,3.2898271092399596,0.4189467498140509,16.0,1013,8104,0.0158102766798419
92,4,2.758424159604442,0.04574721366299846,13.906130268199234,1044,7259,0.013332819049088432
93,4,2.685078776645042,0.05141383141953174,15.881481481481481,1080,8576,0.01471870387533038
94,5,3.32827753662958,0.3733161224406994,14.0,918,6426,0.015267175572519087
95,5,3.445643361911253,0.42833350350758836,14.0,915,6405,0.015317286652078774
96,4,2.6872197657681913,0.049873618326513554,15.881151346332405,1077,8552,0.014759434336740155
97,5,3.107697371270192,0.38463443548847415,18.0,1075,9675,0.01675977653631285
98,5,3.262824314998228,0.39851116257297065,16.0,1036,8288,0.015458937198067634
99,4,2.678715710532747,0.05255803913497209,15.875,1024,8128,0.01551808406647116
100,4,2.6592970276885515,0.05742509460771303,15.870314083080041,987,7832,0.016095653228275903
101,5,3.3522892157196673,0.3758658052117925,14.0,939,6573,0.014925373134328354
102,4,2.660143309991948,0.0564079547304161,15.870837537840565,991,7864,0.01603114902812178
103,5,3.1087920606298534,0.37965815745279663,18.0,1097,9873,0.016423357664233577
104,4,2.6720984802654493,0.057597346879136084,15.877511961722488,1045,8296,0.015208344790921922
105,5,3.2874903716245316,0.3551086965575242,14.0,902,6314,0.015538290788013321
106,4,2.746670770136034,0.04952238602201026,13.903638151425762,1017,7070,0.013684683219907245
107,5,3.3113240585733803,0.4249274519550884,16.0,1020,8160,0.015701668302257114
108,5,3.420422406660645,0.4144972749360004,14.0,919,6433,0.01525054466230937
109,5,3.4117436904515386,0.41339213110594414,14.0,938,6566,0.014941302027748135
110,5,3.332718233464925,0.37521429485820745,14.0,917,6419,0.015283842794759828
111,5,3.315844131097561,0.436273915484367,16.0,1025,8200,0.015625
112,4,2.689108571036282,0.04931361925115104,15.881481481481481,1080,8576,0.01471870387533038
113,4,2.731322721978814,0.04829580919589897,13.896842105263158,950,6601,0.014643669236315233
114,5,3.3207319120362597,0.42701707196123373,16.0,1036,8288,0.015458937198067634
115,6,3.4723335067637877,0.430039236538288,14.0,961,6727,0.014583333333333334
116,4,2.731548441000604,0.053549073126688,13.897703549060543,958,6657,0.014522156268610809
117,4,2.7379120125565732,0.048765780465428114,13.897810218978103,959,6664,0.01450710878807735
118,5,3.425443561857392,0.41569096286592677,14.0,929,6503,0.015086206896551725
119,4,2.7435978882341345,0.04701657854047143,13.897489539748953,956,6643,0.014552345067799953
120,4,2.679734693338266,0.05290043079710951,15.879924953095685,1066,8464,0.014910727655488905
121,5,3.376342868375396,0.38709816605616937,14.0,968,6776,0.01447776628748707
122,4,2.686791880931477,0.05145022286381275,15.880597014925373,1072,8512,0.014827821675934055
123,4,2.6915150580738,0.05027517239640069,15.88159111933395,1081,8584,0.014705176962346252
124,5,3.098538681109314,0.37980623344433617,18.0,1078,9702,0.016713091922005572
125,4,2.675422045768204,0.05520005596150806,15.87958607714017,1063,8440,0.01495252926284385
126,4,2.720152384354517,0.051604735313673544,13.89382448537378,923,6412,0.015069223953767658
127,5,3.472329049073235,0.4312078042291289,14.0,946,6622,0.014814814814814814
128,4,2.6319827048685998,0.052338813175321665,17.850553505535057,1084,9675,0.016482505545277058
129,6,3.59627751382651,0.38808304094506807,12.0,929,5574,0.01293103448275862
130,4,2.6806541000388293,0.050960865491214404,15.87981220657277,1065,8456,0.014924635532493204
131,4,2.6773852527163786,0.05388892648418945,15.878902554399243,1057,8392,0.015036839540150799
132,5,3.3621170711361366,0.3753621387482604,14.0,955,6685,0.014675052410901468
133,4,2.6961891431009892,0.04761489700118299,15.883424408014571,1098,8720,0.014478964820432611
134,4,2.7310744509203464,0.0502291924056036,13.89738219895288,955,6636,0.014567486581711614
135,5,3.434027414460605,0.399935006258005,14.0,1007,7049,0.013916500994035784
136,4,2.6899358949148544,0.04935007504646237,15.881700554528651,1082,8592,0.014691674888555642
137,4,2.665067288745151,0.05335357300078428,15.865546218487395,952,7552,0.016683013899566137
138,5,3.306187465955678,0.41850468622833903,16.0,1057,8456,0.015151515151515152
139,5,3.4035731835731835,0.41037966131155007,14.0,925,6475,0.015151515151515152
140,4,2.670273164403167,0.05294032038807467,15.870182555780932,986,7824,0.01611186046272176
141,5,3.3242112487861153,0.37722044757725254,14.0,907,6349,0.01545253863134658
142,4,2.6922429312718417,0.04730614726440098,15.87981220657277,1065,8456,0.014924635532493204
143,4,2.6907849505284758,0.049616164893065785,15.880037488284911,1067,8472,0.014896845673813238
144,5,3.283848963693972,0.4215048942868892,16.0,996,7968,0.016080402010050256
145,5,3.357480150240099,0.3576980397990941,14.0,1026,7182,0.013658536585365859
146,4,2.714835368109508,0.05363455330484473,13.891231964483907,901,6258,0.015434702182759896
147,4,2.685372585096596,0.051611314043107925,15.882352941176471,1088,8640,0.014611180258672005
148,4,2.735463722886094,0.05000045297008483,13.899795501022496,978,6797,0.014227016889480547
149,5,3.464215903463734,0.41092666930244726,14.0,1037,7259,0.013513513513513514
150,5,3.26126870625324,0.4010951222614697,16.0,1023,8184,0.015655577299412915
151,5,3.4554937584970955,0.4358289092896943,14.0,900,6300,0.01557285873192436
152,4,2.689512935526256,0.04695483957837056,15.878211227402474,1051,8344,0.015122105930859499
153,4,2.729965504657904,0.04994303731364333,13.89507494646681,934,6489,0.014892899192354564
154,4,2.680063722595274,0.05283146683920318,15.877862595419847,1048,8320,0.01516510276544398
155,5,3.1314818061155494,0.3927930242564528,18.0,1095,9855,0.016453382084095067
156,4,2.6786524231328523,0.050521966816565136,15.871614844533601,997,7912,0.01593535626961205
157,5,3.3385140162884315,0.37354012791327534,14.0,938,6566,0.014941302027748135
158,5,3.115085188617031,0.38519118869237956,18.0,1095,9855,0.016453382084095063
159,4,2.7333093713094203,0.04851028845967802,13.896515311510031,947,6580,0.014689762485739992
160,4,2.683047529473523,0.05111865461468653,15.877862595419847,1048,8320,0.015165102765443982
161,4,2.6921855791330374,0.05020419371107329,15.879245283018868,1060,8416,0.014994565895201956
162,4,2.7355727155727156,0.04968618664233452,13.894054054054054,925,6426,0.015036855036855036
163,4,2.7186803806522115,0.05300769180490258,13.893939393939394,924,6419,0.015053022095275616
164,5,3.3742850080336177,0.403344736236893,14.0,900,6300,0.01557285873192436
165,4,2.6667182057875722,0.05758696839997936,15.870967741935484,992,7872,0.016015103675010578
166,5,3.4533038021410114,0.42348496107135997,14.0,946,6622,0.014814814814814814
167,4,2.629885353379329,0.05501268754939964,17.85,1080,9639,0.016543095458758112
168,5,3.1996831249639914,0.36995699329590126,16.0,1021,8168,0.01568627450980392
169,5,3.236149504419756,0.3757208847971754,16.0,1069,8552,0.014981273408239699
170,4,2.737432186596498,0.04590519398122657,13.901309164149044,993,6902,0.014013416496117984
171,4,2.6752716873212585,0.05422487452498842,15.878095238095238,1050,8336,0.015136411094466383
172,5,3.2575959894112962,0.38880437862562645,16.0,1054,8432,0.015194681861348529
173,5,3.2602500817230693,0.39634306028027116,16.0,1047,8376,0.015296367112810707
174,5,3.3069207787517647,0.36012831997136,14.0,924,6468,0.015167930660888406
175,4,2.7529134606634784,0.047152301711892296,13.901507537688442,995,6916,0.013985420058036662
176,5,3.241536944958998,0.38050505332640494,16.0,1053,8424,0.015209125475285173
177,5,3.4437628912205183,0.42375860090170386,14.0,945,6615,0.01483050847457627
178,5,3.271247286181696,0.4181567191762672,16.0,991,7928,0.016161616161616165
179,4,2.7276835519609506,0.05402632060785549,13.899795501022496,978,6797,0.014227016889480545
180,5,3.2272778937557542,0.38313314421661476,16.0,1028,8224,0.01557935735150925
181,6,3.6100638538388683,0.3924363145971072,12.0,923,5538,0.013015184381778741
